Spawnentry,Dino,Abyssal Xiphactinus,Acrocanthosaurus,Archelon,Brachiosaurus,Concavenator,Cryolophosaurus,Deinosuchus,Deinotherium,Helicoprion,Wooly Brachiosaurus,Xiphactinus,Albertosaurus,Ceratosaurus,Edmontosaurus,Elasmotherium,Giant Jaguar,Giant Dart Frog,Majungasaurus,Monolophosaurus,Nanuqsaurus,Ornitholestes,Orolotitan,Primal Owl,Shastasaurus,Smilodon,Sperm Whale,Wooly Mammoth,Aegis,Atlas Capucin,Forest Elephant,Grand Tortugar,Harbinger,Heracles,Hippocampus,Jiiba Dolphin,Midgard Moray,Nyoomarlin,Pangolin Rhinoceros,Pelagic Crocodile,Phantom Manta,Tyrant Scorpion,Acheroraptor,Anzu,Axelrodichthys,Baculites,Dilong,Dracovenator,Genyodectes,Giant Sea Slug,Hainosaurus,Hyneria,Inostrancevia,Jiangjunosaurus,Kelenken,Lirainosaurus,Lualabaea,Lythronax,Mapusaurus,Massospondylus,Nasutoceratops,Neimongosaurus,Neovenator,Ornithocheirus,Paraxenisaurus,Ouranosaurus,Pinacosaurus,Postosuchus,Prionosuchus,Pyroraptor,Saltasaurus,Scelidosaurus,Siamosaurus,Tsintaosaurus,Venenosaurus,Yangchuanosaurus,Zuniceratops,Anteosaurus,Anthracosaurus,Apatosaurus,Archaeoindris,Australovenator,Austroraptor,Balaur,Banguela,Becklespinax,Belluasaurus,Binturong,Brachauchenius,Camarasaurus,Cedarosaurus,Chungkingosaurus,Daspletosaurus,Deltadromeus,Dinocrocuta,Epanterias,Eryops,Europasaurus,Fasolasuchus,Gargoyleosaurus,Gigantspinosaurus,Gigatitan,Harpagornis,Herrerasaurus,Ichthyovenator,Lucanidae,Metriacanthosaurus,Narwhal,Nigersaurus,Oxalaia,Pentaceratops,Phosphatodraco,Plateosaurus,Psittacosaurus,Qianzhousaurus,Rajasaurus,Red Panda ,Rhizodus,Sauropelta,Segnosaurus,Shantungosaurus,Shunosaurus,Sinotyrannus,Squalicorax,Stygimoloch,Styracosaurus,Suchomimus,Tarbosaurus,Thorned Dreadweaver,Torosaurus,Torvosaurus,Tyrannotitan,Vallibonavenatrix,Camel,Exotic Bird,Gecko,Hare,Owl,Snowy Owl,Snow Leopard,Mountain Goat,Acrophyseter,Anomalocaris,Arganodus,Arowana,Broadtooth Mako Shark,Chinlea,Cryptoclidus,Dinichthys,Eastmanosteus,Fiddler Crab,Giant Octopus,Giant Vampire Squid,Goliath Tigerfish,Goonch Catfish,Great White Shark,Hydrarchos,Hydrotherosaurus,Kronosaurus,Leopard Seal,Lungfish,Ophthalmosaurus,Orca,Perch,Pike,Piraiba Catfish,Protostega,Saltwater Crocodile,Shonisaurus,Tiger Shark,Titan Sailfish,Tylosaurus,Walrus,Zygophyseter,Forest Wyvern,Royal Phoenix,Meraxes Vastator,Diploceraspis,Dryosaurus,Hector's Dolphin,Ichthyostega,Onchopristis,Pakasuchus,Platyopo,Whatcheeria,Aurochs,Bobcat,Bos,Corvus,Dryptosaurus,Hammerhead,Homotherium,Kolponomos,Lycoteuthis,Maiabalaena,Mihirung,Moa,Palaeeudyptes,Parrot,Sivatherium,Timber Wolf,Alamodactylus,Angaturama,Carnoraptor,Chilantaisaurus,Coelophysis,Geosternbergia,Kryptops,Padillasaurus,Skorpiovenator,Thalassodromeus,Achillobator,Arapaima,Cyprus Dwarf Hippo,Dakosaurus
Entry ID,Dino BP,AbyssalXiph_Character_BP_C,Acrocanthosaurus_Character_BP_C,Archelon_Character_BP_C,Brachiosaurus_Character_BP_C,Concavenator_Character_BP_C,Cryolophosaurus_Character_BP_C,Deinosuchus_Character_BP_C,Deinotherium_Character_BP_C,G_Helicoprion_Character_BP_C,Brachiosaurus_Character_BP_Woolly_C,Xiph_Character_BP_C,Albertosaurus_Character_BP_C,CeratoJP_Character_BP_C,Eddie_Character_BP_C,Elasmo_Character_BP_C,Jaguar_Character_BP_C,Frog_Character_BP_C,Maju_Character_BP_C,Mono_Character_BP_C,Nanuq_Character_BP_C,Orni_Character_BP_C,Orolo_Character_BP_C,PrimalOwl_Character_BP_C,Shasta_Character_BP_C,Smilodon_Character_BP_C,whale_Character_BP_C,MammothJP_Character_BP_C,Aegis_Character_BP_C,AMonkey_Character_BP_C,AElephant_Character_BP_C,Tortugar_Character_bp_C,Harbinger_Character_BP_C,AParrot_character_bp_C,Hippocampus_Character_bp_C,ADolphin_Character_BP_C,AEel_Character_bp_C,Marlin_Character_BP_C,ARhino_Character_BP_C,ACroc_Character_BP_C,AManta_Character_BP_C,AScorpion_Character_BP_C,Acheroraptor_Character_BP_C,Anzu_Character_BP_C,Axelrodichthys_Character_BP_C,Baculites_Character_BP_C,Dilong_Character_BP_C,Dracovenator_Character_BP_C,Genyodectes_Character_BP_C,GiantSeaSlug_Character_BP_C,Hainosaurus_Character_BP_C,Hyneria_Character_BP_C,Inostrancevia_Character_BP_C,Jiangjunosaurus_Character_BP_C,Kelenken_Character_BP_C,Lirainosaurus_Character_BP_C,Lualabaea_Character_BP_C,Lythronax_Character_BP_C,Mapusaurus_Character_BP_C,Massospondylus_Character_BP_C,Nasutoceratops_Character_BP_C,Neimongosaurus_Character_BP_C,Neovenator_Character_BP_C,Ornithocheirus_Character_BP_C,Paraxenisaurus_Character_BP_C,Ouranosaurus_Character_BP_C,Pinacosaurus_Character_BP_C,Postosuchus_Character_BP_C,Prionosuchus_Character_BP_C,Pyroraptor_Character_BP_C,Saltasaurus_Character_BP_C,Scelidosaurus_Character_BP_C,Siamosaurus_Character_BP_C,Tsintaosaurus_Character_BP_C,Venenosaurus_Character_BP_C,Yangchuanosaurus_Character_BP_C,Zuniceratops_Character_BP_C,Anteo_Character_BP_C,Anthraco_Character_bp_C,ShadApato_Character_BP_C,Archaeoindris_Character_BP_C,australoven_character_bp_c,Austro_Character_bp_C,Balaur_Character_BP_C,Banguela_Character_BP_C,Beckle_Character_BP_C,Belluasaurus_Character_BP_C,Binturong_Character_bp_C,Brachau_Character_BP_C,ShadCamara_Character_bp_C,Cedarosaurus_Character_bp_C,ChunkyKing_Character_BP_C,Daspletosaurus_Character_BP_C,Deltadromeus_Character_BP_C,BigYeen_Character_BP_C,Epanterias_Character_BP_C,Eryops_Character_bp_C,Europa_Character_bp_C,Fasola_Character_BP_C,Goyle_Character_BP_C,gigas_character_bp_c,gigatitan_character_bp_c,Harpa_character_bp_C,Herra_Character_BP_C,IchVen_Character_BP_C,Lucanidae_Character_bp_C,Metriac_Character_BP_C,Narwy_Character_BP_C,Nigersaurus_Character_bp_C,Ox_Character_BP_C,Penta_Character_bp_C,Phosphato_Character_bp_C,Plateo_Character_BP_C,Taco_Character_bp_C,Qian_Character_BP_C,Raja_Character_BP_C,RedPanda_Character_bp_C,Rhizo_Character_bp_C,Pelta_Character_BP_C,Segno_Character_BP_C,Shantung_Character_BP_C,Shuno_Character_BP_C,Sinotyrannus_Character_BP_C,Squalicorax_Character_BP_C,AC2Stygi_Character_BP_C,AC2Styraco_Character_bp_C,suchomimus_character_bp_c,Tarbo_Character_BP_C,Dreadweaver_Character_BP_C,Torosaur_Character_BP_C,Ac2Torvo_Character_bp_C,ShadTyrannotitan_Character_BP_C,Valli_Character_BP_C,Camel_MM_Character_BP_C,ExoticBird_Character_BP_C,Gecko_Character_BP_C,Hare_Character_BP_C,Avesowl_Character_BP_C,A_Owl_Character_BP_C,Snowleopard_character_BP_C,Capra_MM_Character_BP_C,Acroph_Character_bp_C,Anomalo_Character_bp_C,Arganodus_Character_bp_C,Arowana_Character_bp_C,Broadtooth_Character_bp_C,Chinlea_Character_bp_C,Crypto_Character_bp_C,Dinichthys_Character_bp_C,Eastman_Character_BP_C,Fiddler_Character_BP_C,Octopus_Character_bp_C,VSquid_Character_bp_C,GoliathTigerfish_Character_bp_C,Goonch_Character_bp_C,GreatWhite_Character_bp_C,Hydrarchos_Character_BP_C,Hydrothero_Character_BP_C,Kronosaurus_Character_bp_C,LeopardSeal_Character_BP_C,Lungfish_Character_bp_C,Ophthal_Character_bp_C,Orca_Character_BP_C,Perch_Character_bp_C,Pike_Character_bp_C,Piraiba_Character_bp_C,Protostega_Character_bp_C,Saltie_Character_BP_C,Shoni_Character_bp_C,TigerShark_Character_bp_C,TitanSailfish_Character_BP_C,Tylo_Character_bp_C,Walrus_Character_BP_C,Zygo_Character_BP_C,ForestWyvern_character_bp_C,RPhoenix_character_bp_C,Meraxes_Character_BP_C,Ceraspis_Character_BP_C,ACDryo_Character_BP_C,HectorDolphin_Character_BP_C,Ichthyostega_Character_bp_C,Oncho_Character_bp_C,Pakasuchus_Character_BP_C,Platyopo_Character_bp_C,What_Character_BP_C,Aurochs_Character_BP_C,Bobcat_Character_BP_C,Bos_Character_BP_C,Corvus_Character_BP_C,Dryptosaurus_Character_BP_C,HHead_Character_BP_C,Homotherium_Character_BP_C,Kolponomos_Character_BP_C,AoASquid_Character_BP_C,Maiabalaena_Character_BP_C,AoAChicken_Character_BP_C,Moa_Character_BP_C,AoAPenguin_Character_BP_C,Macaw_Character_BP_C,Sivatherium_Character_BP_C,TimberWolf_Character_BP_C,alamodactylus_character_bp_c,anga_character_bp_c,carnoraptor_character_bp_c,chilantaisaurus_character_bp_c,coelophysis_character_bp_c,geostern_character_bp_c,kryptops_character_bp_c,padilla_character_bp_c,scorpiovenator_character_bp_c,thalasso_character_bp_c,Achillobator_Character_BP_C,pirarucu_character_bp_c,cyprushippo_character_bp_c,dakosaur_character_bp_c
,Description,deeper ocean,bigger rex,beach; small megachelon,larger bronto,dunes make sense,ice allo,bigger crocodile,larger elephant,shallow-mid ocean,ice biome,shallow-mid ocean,smaller rex; carno similar,allo similar,big iguanodon,rhino similar,little stronger saber,swamp,allo similar,slower raptor,yuty similar,raptor similar,parasaur similar,cute pet,big dolphin; mega,sabertooth,leedsychtis,snow,whale; ocean,monkey shoulderpet,jungle,agressive turtle; dunes maybe,livyathan; deep ocean,parrot; jungle; beach,seahorse; middle ocean,similar ichty,deepsea moray,fish; river,rhino badlands,its a crocodile; rather fast on land,huge friendly manta ray; ocean,similar scorpion,similar to raptor,agressive herbivore; egg laying,large coelacanth,passive tame cephalopod,larger raptor,fantasy rex; larger,similar to rex,similar trilobite,smaller mosa; still scary,deep ocean,thyla similar,stego + kentro,larger terror bird,similar diplodocus,passive tame fish,larger rex,larger rex,huugee iguanodon; neutral,larger triceratops,little carnivore,allo + rex in one,similar to pelagornis,duck iguanodon,friendly; swamp iguano,smaller anky,redwoods; carno/allo; egg laying,ocean,allo; rex similar,diplo - bronto,beach; shoulder pet,similar to spino; neutral,similar to parasaur,similar to bronto,rex; snow,similar to trike,badlands; larger sabertooth,river; swamp,similar bronto,docile lemur; jungle,cold; arid carno,docile raptor,docile raptor,mini pt; redwoods; weird spawning,element allo,similar rex,shoulder pet; jungle,similar mosa,similar bronto,similar bronto,bigger stego/kentro; non-agressive,friendly bigger rex,docile scary galli,sabre / thyla,allo / rex,swamp; neutral magalania,similar bronto,faster rex; mountains,similar kentro,massive stego,similar mantis,similar argy,similar carno,bigger baryonyx,docile stag beetle; redwoods,similar carno; allo,similar megalodon,agressive diplo - bronto,docile spino,agressive extinction trike,beach; similar pt,skittish raptor; jungle,neutral jungle,similar megalosaurus,similar allo,shoulder pet; jungle,river ideally,larger anky,docile theri; plains,agressive large iguano,similar bronto,furry allo,rare freshwater shark,agressive pachyceph,similar trike,big bary; allo ,similar rex,similar mantis,similar trike,similar rex,similar rex,similar baryonyx,savannah,jungle,jungle,plains,jungle; small owl,snow,snow,its a goat; badlands,dolphin,deepsea,river ideally,river ideally,similar megalodon,river ideally,similar plesio,similar dunkleo,similar dunkleo,beach; shoulder pet,similar megalodon,dark ocean,river; swamp,river ideally,similar megalodon,similar megalodon,similar plesio,mosa similar,snow water,river ideally,similar dolphin,similar megalodon,similar coel,river ideally,river; swamp,ocean; turtle,similar sarco,similar mosa,similar megalodon,similar megalodon,smaller mosa; still scary,snow; maybe water,similar megalodon,yeah its in the name,phoeeenix,carcha similar,smaller diplocaulus,jungle. cute,small dolphin,swampy amphibian,ocean. harmless,cute croc,swampy. cute,swampy amphibian,agressive bull,pet cat,cow. males agressive,crow. metal aggressive,razortooth,shark,sabertooth similar,bear,smaller tuso,gentle whale,chicken,ostrich similar,prenguin,pet parrot,desert giraffe,smaller wolf,pt; agressive when bugs killed,85% agressive bary,raptor + carno; wow,allo similar,20+ pack small raptors,skittish pt,virus rex+allo,small bronto,docile bug-hating carno,high fly agressive pt,larger raptor,territorial fish,docile hippo,agressive croc-reptile
Beach,EntryWeight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,0.2,0.025,0.2,,,,,,,,,0.05,,,,,,,,,,,0.03,,,,,,,,,,,0.03,,0.02,,,,,0.01,,,,,,,,0.03,,,,,,,,,,,,,0.015,0.075,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,0.02,,,,,,,x,x,,,,x,,,,
DinoSpawnEntriesBeach_C,Limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,0.1,0.05,0.1,,,,,,,,,0.05,,,,,,,,,,,0.03,,,,,,,,,,,0.03,,0.02,,,,,0.01,,,,,,,,0.03,,,,,,,,,,,,,0.01,0.1,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,0.02,,,,,,,x,x,,,,x,,,,
Jungle,EntryWeight,,,,0.013,,,,,,,,0.02,,,,,,,,,0.045,,0.06,,0.05,,,,0.03,0.02,,,0.04,,,,,,,,,,,,,,,0.2,,,,,0.2,,,,,,,0.2,0.025,,,,,0.2,,,,,,,,,,,,,,0.025,,,0.01,0.05,,,0.03,,0.03,,,,,,,,0.03,,,0.04,0.02,,0.04,,0.01,,,0.03,,,,0.03,0.034,0.01,,0.03,,,0.04,,,0.015,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,0.02,,,,,,,0.011,,,,,,,0.03,,,,,,x,,,,,,,x,,0.02,,0.04,
DinoSpawnEntriesJungle_C,Limit,,,,0.01,,,,,,,,0.01,,,,,,,,,0.01,,0.01,,0.006,,,,0.03,0.02,,,0.04,,,,,,,,,,,,,,,0.25,,,,,0.15,,,,,,,0.25,0.07,,,,,0.25,,,,,,,,,,,,,,0.025,,,0.01,0.05,,,0.03,,0.03,,,,,,,,0.03,,,0.04,0.02,,0.04,,0.01,,,0.03,,,,0.03,0.034,0.01,,0.03,,,0.04,,,0.015,,,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,0.02,,,,0.02,,,,,,,0.025,,,,,,,0.015,,,,,,x,,,,,,,x,,0.02,,0.04,
Redwoods Normal,EntryWeight,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.12,,,,0.04,,0.05,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,0.01,0.1,,,,,0.03,0.02,,,,,,,0.03,,,,,,,,,,,,,,,0.03,,,,0.03,,,0.03,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.005,,,,,,,,,,0.06,,,,,,,,,,,,,,0.06,,,,x,,,,x,x,,,,,
DinoSpawnEntriesRedwoods_C,Limit,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.03,,,,0.06,,0.05,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,0.01,0.1,,,,,0.04,0.02,,,,,,,0.03,,,,,,,,,,,,,,,0.03,,,,0.03,,,0.03,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,0.05,,,,,,,,,,0.015,,,,,,,,,,,,,,0.015,,,,x,,,,x,x,,,,,
Mountain,EntryWeight,,0.015,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,,,,,,,,,,,,0.075,,0.03,,,,0.075,,,0.075,,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.02,,,,,,,,,,,,,0.02,,,0.03,,,,,,0.03,,,,,,0.015,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
DinoSpawnEntriesMountain_C,Limit,,0.015,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.1,,,,,,,,,,,,,,0.08,,0.08,,,,0.15,,,0.12,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.02,,,,,,,,,,,,,0.02,,,0.03,,,,,,0.03,,,,,,0.015,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
